,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
197,uri,http://www.wikidata.org/entity/Q28115222,en,literal,E. Mavis Hetherington
198,uri,http://www.wikidata.org/entity/Q28458519,en,literal,Angeline Stoll Lillard
199,uri,http://www.wikidata.org/entity/Q28534868,en,literal,Gilbert Meilaender
200,uri,http://www.wikidata.org/entity/Q28673347,en,literal,Sallie Ann Keller
201,uri,http://www.wikidata.org/entity/Q28853802,en,literal,Ryan C. Amacher
202,uri,http://www.wikidata.org/entity/Q28868059,en,literal,David W. Breneman
203,uri,http://www.wikidata.org/entity/Q2901043,en,literal,Robert Cooter
204,uri,http://www.wikidata.org/entity/Q2960465,en,literal,Charles Wright
205,uri,http://www.wikidata.org/entity/Q3014805,en,literal,Daniel Wegner
206,uri,http://www.wikidata.org/entity/Q28008775,en,literal,David Ludden
207,uri,http://www.wikidata.org/entity/Q28028610,en,literal,Wladek Minor
208,uri,http://www.wikidata.org/entity/Q28032621,en,literal,William I. Hitchcock
209,uri,http://www.wikidata.org/entity/Q28033870,en,literal,Boris Kovatchev
210,uri,http://www.wikidata.org/entity/Q28036945,en,literal,Gary William Gallagher
211,uri,http://www.wikidata.org/entity/Q28037262,en,literal,Maksymilian Chruszcz
212,uri,http://www.wikidata.org/entity/Q28086213,en,literal,Eric Turkheimer
213,uri,http://www.wikidata.org/entity/Q6773495,en,literal,Marshall Brement
214,uri,http://www.wikidata.org/entity/Q6780075,en,literal,Mary Lee Settle
215,uri,http://www.wikidata.org/entity/Q6790361,en,literal,Matthew Crawford
216,uri,http://www.wikidata.org/entity/Q6790687,en,literal,Matthew Holden
217,uri,http://www.wikidata.org/entity/Q6790716,en,literal,Matthew J. Bruccoli
218,uri,http://www.wikidata.org/entity/Q6793373,en,literal,Maurice Nelles
219,uri,http://www.wikidata.org/entity/Q6796702,en,literal,Maya Jasanoff
220,uri,http://www.wikidata.org/entity/Q5721808,en,literal,Henry Garrett
221,uri,http://www.wikidata.org/entity/Q5992405,en,literal,Ignacio Provencio
222,uri,http://www.wikidata.org/entity/Q6074600,en,literal,Irving Gottesman
223,uri,http://www.wikidata.org/entity/Q6105354,en,literal,J. David Sapir
224,uri,http://www.wikidata.org/entity/Q6131299,en,literal,James Childress
225,uri,http://www.wikidata.org/entity/Q206017,en,literal,Patrick Michaels
226,uri,http://www.wikidata.org/entity/Q216490,en,literal,Hugo Iltis
227,uri,http://www.wikidata.org/entity/Q242625,en,literal,Mary Ainsworth
228,uri,http://www.wikidata.org/entity/Q314292,en,literal,Eben Moglen
229,uri,http://www.wikidata.org/entity/Q344157,en,literal,Andrew Stevenson
230,uri,http://www.wikidata.org/entity/Q348235,en,literal,Trinh Xuan Thuan
231,uri,http://www.wikidata.org/entity/Q7807049,en,literal,Timothy Beatley
232,uri,http://www.wikidata.org/entity/Q7807415,en,literal,Timothy Naftali
233,uri,http://www.wikidata.org/entity/Q7807613,en,literal,Timothy Wilson
234,uri,http://www.wikidata.org/entity/Q7811770,en,literal,Toby Berger
235,uri,http://www.wikidata.org/entity/Q7812299,en,literal,Todd Bullard
236,uri,http://www.wikidata.org/entity/Q7822139,en,literal,Tony Crunk
237,uri,http://www.wikidata.org/entity/Q7922187,en,literal,Vernon McCasland
238,uri,http://www.wikidata.org/entity/Q430037,en,literal,Peter van de Kamp
239,uri,http://www.wikidata.org/entity/Q437371,en,literal,Gresham Sykes
240,uri,http://www.wikidata.org/entity/Q444433,en,literal,Marek Jan Chodakiewicz
241,uri,http://www.wikidata.org/entity/Q3436307,en,literal,Robert Homer Simpson
242,uri,http://www.wikidata.org/entity/Q3896092,en,literal,Park Dietz
243,uri,http://www.wikidata.org/entity/Q4027139,en,literal,Robert B. Radnitz
244,uri,http://www.wikidata.org/entity/Q4133014,en,literal,E. D. Hirsch
245,uri,http://www.wikidata.org/entity/Q4347110,en,literal,Robert M. Patterson
246,uri,http://www.wikidata.org/entity/Q8020606,en,literal,William Wulf
247,uri,http://www.wikidata.org/entity/Q8347862,en,literal,Chen Chi-nan
248,uri,http://www.wikidata.org/entity/Q9008081,en,literal,Imanol Ordorika Sacristán
249,uri,http://www.wikidata.org/entity/Q10305077,en,literal,James G. Simmonds
250,uri,http://www.wikidata.org/entity/Q11310455,en,literal,Julie Bargmann
251,uri,http://www.wikidata.org/entity/Q12021798,en,literal,Ira Bashkow
252,uri,http://www.wikidata.org/entity/Q12061021,en,literal,Michael Klarman
253,uri,http://www.wikidata.org/entity/Q12270118,en,literal,Roger A. Chevalier
254,uri,http://www.wikidata.org/entity/Q12611937,en,literal,Seung-Heon Lee
255,uri,http://www.wikidata.org/entity/Q15833431,en,literal,Malcolm Bell
256,uri,http://www.wikidata.org/entity/Q15839751,en,literal,Paul Nahin
257,uri,http://www.wikidata.org/entity/Q15899053,en,literal,Kostas Soukoulis
258,uri,http://www.wikidata.org/entity/Q15998569,en,literal,Harrison Randolph
259,uri,http://www.wikidata.org/entity/Q16003606,en,literal,James Bardin
260,uri,http://www.wikidata.org/entity/Q16105838,en,literal,Lester Andrews
261,uri,http://www.wikidata.org/entity/Q16150522,en,literal,Steven Balbus
262,uri,http://www.wikidata.org/entity/Q16151844,en,literal,Joel Makower
263,uri,http://www.wikidata.org/entity/Q16205551,en,literal,Anthony Corbeill
264,uri,http://www.wikidata.org/entity/Q15442014,en,literal,Henry J. Abraham
265,uri,http://www.wikidata.org/entity/Q15445634,en,literal,Curtis Bradley
266,uri,http://www.wikidata.org/entity/Q15445742,en,literal,John F. Hawley
267,uri,http://www.wikidata.org/entity/Q15453236,en,literal,John Canaday
268,uri,http://www.wikidata.org/entity/Q15454670,en,literal,Richard Guy Wilson
269,uri,http://www.wikidata.org/entity/Q4647627,en,literal,A. C. Spearing
270,uri,http://www.wikidata.org/entity/Q4665815,en,literal,Abdulaziz Sachedina
271,uri,http://www.wikidata.org/entity/Q4679954,en,literal,Adam Watson
272,uri,http://www.wikidata.org/entity/Q4706366,en,literal,Alan Cheuse
273,uri,http://www.wikidata.org/entity/Q4711313,en,literal,Albert Taylor Bledsoe
274,uri,http://www.wikidata.org/entity/Q4719325,en,literal,Alexander Klibanov
275,uri,http://www.wikidata.org/entity/Q445740,en,literal,Rita Dove
276,uri,http://www.wikidata.org/entity/Q449689,en,literal,John W. Snow
277,uri,http://www.wikidata.org/entity/Q6306998,en,literal,Julian Bond
278,uri,http://www.wikidata.org/entity/Q6390311,en,literal,Kenneth Kellermann
279,uri,http://www.wikidata.org/entity/Q6390619,en,literal,Kenneth R. Mladenka
280,uri,http://www.wikidata.org/entity/Q6390790,en,literal,Kenneth W. Thompson
281,uri,http://www.wikidata.org/entity/Q703878,en,literal,Herbert Stein
282,uri,http://www.wikidata.org/entity/Q37369581,en,literal,Anindya Dutta
283,uri,http://www.wikidata.org/entity/Q37381771,en,literal,Erik Ruzek
284,uri,http://www.wikidata.org/entity/Q37384140,en,literal,Nicholas E. Sherman
285,uri,http://www.wikidata.org/entity/Q37385085,en,literal,Mark D. Miller
286,uri,http://www.wikidata.org/entity/Q37640761,en,literal,Mete Civelek
287,uri,http://www.wikidata.org/entity/Q38546727,en,literal,Rebecca T. Thomason
288,uri,http://www.wikidata.org/entity/Q39041081,en,literal,Cameron Mura
289,uri,http://www.wikidata.org/entity/Q39149699,en,literal,Vicente Ordóñez
290,uri,http://www.wikidata.org/entity/Q39182920,en,literal,Miguel Vicente-Manzanares
291,uri,http://www.wikidata.org/entity/Q6491061,en,literal,Larry Sabato
292,uri,http://www.wikidata.org/entity/Q6520710,en,literal,Leland B. Yeager
293,uri,http://www.wikidata.org/entity/Q6523655,en,literal,Leo Damrosch
294,uri,http://www.wikidata.org/entity/Q6548081,en,literal,Lillian BeVier
