,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value
263,uri,http://www.wikidata.org/entity/Q197185,en,literal,Zhang Guowei,en,literal,male
264,uri,http://www.wikidata.org/entity/Q197209,en,literal,Zhang Jiewen,en,literal,female
265,uri,http://www.wikidata.org/entity/Q197288,en,literal,Zhang Shuang,en,literal,female
266,uri,http://www.wikidata.org/entity/Q197805,en,literal,Zhong Huandi,en,literal,female
267,uri,http://www.wikidata.org/entity/Q197944,en,literal,Zhor El Kamch,en,literal,female
268,uri,http://www.wikidata.org/entity/Q198575,en,literal,Suleiman Nyambui,en,literal,male
269,uri,http://www.wikidata.org/entity/Q198672,en,literal,Evgenia Tarasova,en,literal,female
270,uri,http://www.wikidata.org/entity/Q198913,en,literal,Nina Statkevich,en,literal,female
271,uri,http://www.wikidata.org/entity/Q198965,en,literal,Erwina Ryś-Ferens,en,literal,female
272,uri,http://www.wikidata.org/entity/Q200852,en,literal,Günther Huber,en,literal,male
273,uri,http://www.wikidata.org/entity/Q202711,en,literal,Jānis Sprukts,en,literal,male
274,uri,http://www.wikidata.org/entity/Q203291,en,literal,Ana Drev,en,literal,female
275,uri,http://www.wikidata.org/entity/Q203982,en,literal,Adam Małysz,en,literal,male
276,uri,http://www.wikidata.org/entity/Q203991,en,literal,Kaitlyn Lawes,en,literal,female
277,uri,http://www.wikidata.org/entity/Q204620,en,literal,Natalya Gorelova,en,literal,female
278,uri,http://www.wikidata.org/entity/Q207358,en,literal,João Havelange,en,literal,male
279,uri,http://www.wikidata.org/entity/Q208693,en,literal,Javier Sotomayor,en,literal,male
280,uri,http://www.wikidata.org/entity/Q209193,en,literal,Darya Domracheva,en,literal,female
281,uri,http://www.wikidata.org/entity/Q213427,en,literal,Aaron Ramsey,en,literal,male
282,uri,http://www.wikidata.org/entity/Q217354,en,literal,Gail Devers,en,literal,female
283,uri,http://www.wikidata.org/entity/Q219040,en,literal,Zoltán Szécsi,en,literal,male
284,uri,http://www.wikidata.org/entity/Q219309,en,literal,Nikolai Andrianov,en,literal,male
285,uri,http://www.wikidata.org/entity/Q220519,en,literal,Zoran Janković,en,literal,male
286,uri,http://www.wikidata.org/entity/Q229640,en,literal,Anastasiya Kuzmina,en,literal,female
287,uri,http://www.wikidata.org/entity/Q709923,en,literal,João Vieira,en,literal,male
288,uri,http://www.wikidata.org/entity/Q964871,en,literal,John Napier,en,literal,male
289,uri,http://www.wikidata.org/entity/Q1181130,en,literal,Dean Smith,en,literal,male
290,uri,http://www.wikidata.org/entity/Q1337156,en,literal,Pietro Lombardi,en,literal,male
291,uri,http://www.wikidata.org/entity/Q1393139,en,literal,Daniel Gómez,en,literal,male
292,uri,http://www.wikidata.org/entity/Q1928763,en,literal,Michael Obst,en,literal,male
293,uri,http://www.wikidata.org/entity/Q2142404,en,literal,Robert Taylor,en,literal,male
294,uri,http://www.wikidata.org/entity/Q7822664,en,literal,Tony Johnson,en,literal,male
295,uri,http://www.wikidata.org/entity/Q8070310,en,literal,Zhang Shuang,en,literal,female
296,uri,http://www.wikidata.org/entity/Q16166287,en,literal,Paul Berg,en,literal,male
297,uri,http://www.wikidata.org/entity/Q26205963,en,literal,Nico Müller,en,literal,male
298,uri,http://www.wikidata.org/entity/Q26261222,en,literal,Robert Fuchs,en,literal,male
299,uri,http://www.wikidata.org/entity/Q47501004,en,literal,Daniel Alves,en,literal,male
