,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,ethnicity.type,ethnicity.value
262,uri,http://www.wikidata.org/entity/Q6790687,en,literal,Matthew Holden,literal,
263,uri,http://www.wikidata.org/entity/Q6790716,en,literal,Matthew J. Bruccoli,literal,
264,uri,http://www.wikidata.org/entity/Q6793373,en,literal,Maurice Nelles,literal,
265,uri,http://www.wikidata.org/entity/Q6796702,en,literal,Maya Jasanoff,literal,
266,uri,http://www.wikidata.org/entity/Q6814140,en,literal,Melvyn P. Leffler,literal,
267,uri,http://www.wikidata.org/entity/Q6818945,en,literal,Meredith Jung-En Woo,literal,
268,uri,http://www.wikidata.org/entity/Q6819719,en,literal,Merle Sande,literal,
269,uri,http://www.wikidata.org/entity/Q6834055,en,literal,Michael Ryan,literal,
270,uri,http://www.wikidata.org/entity/Q6891197,en,literal,Mohamed Gad-el-Hak,literal,
271,uri,http://www.wikidata.org/entity/Q6969005,en,literal,Nathan Currier,literal,
272,uri,http://www.wikidata.org/entity/Q7141816,en,literal,Pasco Bowman II,literal,
273,uri,http://www.wikidata.org/entity/Q7151427,en,literal,Paul Humphreys,literal,
274,uri,http://www.wikidata.org/entity/Q7152166,en,literal,Paul Mahoney,literal,
275,uri,http://www.wikidata.org/entity/Q7152688,en,literal,Paul Neebe,literal,
276,uri,http://www.wikidata.org/entity/Q7153052,en,literal,Paul R. Gross,literal,
277,uri,http://www.wikidata.org/entity/Q7176206,en,literal,Peter Ochs,literal,
278,uri,http://www.wikidata.org/entity/Q7183255,en,literal,Philip Bourne,literal,
279,uri,http://www.wikidata.org/entity/Q7273968,en,literal,R. S. Khare,literal,
280,uri,http://www.wikidata.org/entity/Q7291594,en,literal,Randall Ray Rader,literal,
281,uri,http://www.wikidata.org/entity/Q7323619,en,literal,Richard Abidin,literal,
282,uri,http://www.wikidata.org/entity/Q7341943,en,literal,Robert Bausch,literal,
283,uri,http://www.wikidata.org/entity/Q7342032,en,literal,Robert Bennett Bean,literal,
284,uri,http://www.wikidata.org/entity/Q7342467,en,literal,Robert Bruner,literal,
285,uri,http://www.wikidata.org/entity/Q7343756,en,literal,Robert E. Davis,literal,
286,uri,http://www.wikidata.org/entity/Q7344085,en,literal,Robert Empie Rogers,literal,
287,uri,http://www.wikidata.org/entity/Q7344600,en,literal,Robert G. Bryant,literal,
288,uri,http://www.wikidata.org/entity/Q7345078,en,literal,Robert H. McBride,literal,
289,uri,http://www.wikidata.org/entity/Q7345769,en,literal,Robert I. Webb,literal,
290,uri,http://www.wikidata.org/entity/Q7346360,en,literal,Robert King,literal,
291,uri,http://www.wikidata.org/entity/Q7347094,en,literal,Robert M. Berne,literal,
292,uri,http://www.wikidata.org/entity/Q7347168,en,literal,Robert M. O'Neil,literal,
293,uri,http://www.wikidata.org/entity/Q7348237,en,literal,Robert P. Scharlemann,literal,
294,uri,http://www.wikidata.org/entity/Q7349525,en,literal,Robert S. Wood,literal,
295,uri,http://www.wikidata.org/entity/Q7365292,en,literal,Ronald Sokol,literal,
296,uri,http://www.wikidata.org/entity/Q7373468,en,literal,Roy Wagner,literal,
297,uri,http://www.wikidata.org/entity/Q7411289,en,literal,Samuel E. Bodily,literal,
298,uri,http://www.wikidata.org/entity/Q7426853,en,literal,Satwant Pasricha,literal,
299,uri,http://www.wikidata.org/entity/Q7427319,en,literal,Saul Levmore,literal,
300,uri,http://www.wikidata.org/entity/Q7437343,en,literal,Scott T. Acton,literal,
301,uri,http://www.wikidata.org/entity/Q7609232,en,literal,Stephen Francis Barker,literal,
302,uri,http://www.wikidata.org/entity/Q7609641,en,literal,Stephen K. White,literal,
303,uri,http://www.wikidata.org/entity/Q7610057,en,literal,Stephen Mull,literal,
304,uri,http://www.wikidata.org/entity/Q7610721,en,literal,Stephen Tuttle,literal,
305,uri,http://www.wikidata.org/entity/Q7615091,en,literal,Steven Nock,literal,
306,uri,http://www.wikidata.org/entity/Q7693743,en,literal,Ted Snyder,literal,
307,uri,http://www.wikidata.org/entity/Q7702090,en,literal,Teresa A. Sullivan,literal,
308,uri,http://www.wikidata.org/entity/Q7706889,en,literal,Tetsundo Iwakuni,literal,
309,uri,http://www.wikidata.org/entity/Q7790651,en,literal,Thomas Hewitt Key,literal,
310,uri,http://www.wikidata.org/entity/Q7804525,en,literal,Tim Wu,literal,
311,uri,http://www.wikidata.org/entity/Q7807049,en,literal,Timothy Beatley,literal,
