,person.type,person.value,sexuality.xml:lang,sexuality.type,sexuality.value,personLabel.xml:lang,personLabel.type,personLabel.value
206,uri,http://www.wikidata.org/entity/Q5606923,,,,en,literal,Gregory G. Colomb
207,uri,http://www.wikidata.org/entity/Q5628518,,,,en,literal,H. Richard Winn
208,uri,http://www.wikidata.org/entity/Q5672014,,,,en,literal,Harry Rogers Pratt
209,uri,http://www.wikidata.org/entity/Q5701011,,,,en,literal,M.R. Ghanoonparvar
210,uri,http://www.wikidata.org/entity/Q5721808,,,,en,literal,Henry Garrett
211,uri,http://www.wikidata.org/entity/Q5992405,,,,en,literal,Ignacio Provencio
212,uri,http://www.wikidata.org/entity/Q6074600,,,,en,literal,Irving Gottesman
213,uri,http://www.wikidata.org/entity/Q6105354,,,,en,literal,J. David Sapir
214,uri,http://www.wikidata.org/entity/Q6131299,,,,en,literal,James Childress
215,uri,http://www.wikidata.org/entity/Q6132422,,,,en,literal,James Davison Hunter
216,uri,http://www.wikidata.org/entity/Q6135647,,,,en,literal,James Harry Michael Jr.
217,uri,http://www.wikidata.org/entity/Q6143406,,,,en,literal,James Southall Wilson
218,uri,http://www.wikidata.org/entity/Q6143581,,,,en,literal,James Sterling Young
219,uri,http://www.wikidata.org/entity/Q6154557,,,,en,literal,Janine Jagger
220,uri,http://www.wikidata.org/entity/Q6170610,,,,en,literal,Jean Edward Smith
221,uri,http://www.wikidata.org/entity/Q6172460,,,,en,literal,Jeb Livingood
222,uri,http://www.wikidata.org/entity/Q6176088,,,,en,literal,Jeffrey K. Olick
223,uri,http://www.wikidata.org/entity/Q6176191,,,,en,literal,Jeffrey O'Connell
224,uri,http://www.wikidata.org/entity/Q6182840,,,,en,literal,Jerome McGann
225,uri,http://www.wikidata.org/entity/Q6196309,,,,en,literal,Jim Lark
226,uri,http://www.wikidata.org/entity/Q6208090,,,,en,literal,Jody Kraus
227,uri,http://www.wikidata.org/entity/Q6216361,,,,en,literal,Johanna Drucker
228,uri,http://www.wikidata.org/entity/Q6220050,,,,en,literal,John B. Minor
229,uri,http://www.wikidata.org/entity/Q6222461,,,,en,literal,John Bonvillian
230,uri,http://www.wikidata.org/entity/Q6224880,,,,en,literal,John Calvin Jeffries
231,uri,http://www.wikidata.org/entity/Q6227181,,,,en,literal,John Corrigan
232,uri,http://www.wikidata.org/entity/Q6245060,,,,en,literal,John Lloyd Newcomb
233,uri,http://www.wikidata.org/entity/Q6246525,,,,en,literal,John Mallet
234,uri,http://www.wikidata.org/entity/Q6259942,,,,en,literal,John T. Casteen III
235,uri,http://www.wikidata.org/entity/Q6260309,,,,en,literal,John Tayloe Lomax
236,uri,http://www.wikidata.org/entity/Q6263713,,,,en,literal,John Wheeler-Bennett
237,uri,http://www.wikidata.org/entity/Q6281898,,,,en,literal,Joseph C. Miller
238,uri,http://www.wikidata.org/entity/Q6283130,,,,en,literal,Joseph Fletcher
239,uri,http://www.wikidata.org/entity/Q6286311,,,,en,literal,Joseph Poon
240,uri,http://www.wikidata.org/entity/Q6304491,,,,en,literal,Judy Jordan
241,uri,http://www.wikidata.org/entity/Q6306998,,,,en,literal,Julian Bond
242,uri,http://www.wikidata.org/entity/Q6390311,,,,en,literal,Kenneth Kellermann
243,uri,http://www.wikidata.org/entity/Q6390619,,,,en,literal,Kenneth R. Mladenka
244,uri,http://www.wikidata.org/entity/Q6390790,,,,en,literal,Kenneth W. Thompson
245,uri,http://www.wikidata.org/entity/Q6396581,,,,en,literal,Kevin J. Sullivan
246,uri,http://www.wikidata.org/entity/Q6396642,,,,en,literal,Kevin K. Lehmann
247,uri,http://www.wikidata.org/entity/Q6437338,,,,en,literal,Krishan Kumar
248,uri,http://www.wikidata.org/entity/Q6456665,,,,en,literal,L. Tucker Jones
249,uri,http://www.wikidata.org/entity/Q6485803,,,,en,literal,Langdon Brown Gilkey
250,uri,http://www.wikidata.org/entity/Q6490695,,,,en,literal,Larry Leon Palmer
251,uri,http://www.wikidata.org/entity/Q6491061,,,,en,literal,Larry Sabato
252,uri,http://www.wikidata.org/entity/Q6520710,,,,en,literal,Leland B. Yeager
253,uri,http://www.wikidata.org/entity/Q6523655,,,,en,literal,Leo Damrosch
254,uri,http://www.wikidata.org/entity/Q6548081,,,,en,literal,Lillian BeVier
255,uri,http://www.wikidata.org/entity/Q6558381,,,,en,literal,Lisa Russ Spaar
256,uri,http://www.wikidata.org/entity/Q6680396,,,,en,literal,Loren Lomasky
